state,town,folded_into
Connecticut,windsor locks,windsor
Georgia,rabun gap,rabun
Maine,cumberland center,cumberland
Michigan,grosse pointe farms,grosse pointe
Michigan,grosse pointe shores,grosse pointe
Michigan,grosse pointe woods,grosse pointe
New Jersey,beach haven west,beach haven
New Jersey,gloucester city,gloucester
New Jersey,neptune city,neptune
New Jersey,princeton junction,princeton
New York,adams center,adams
New York,brookhaven hamlet,brookhaven
New York,clarence center,clarence
New York,garden city south,garden city
New York,guilderland center,guilderland
New York,horseheads north,horseheads
New York,huntington bay,huntington
New York,huntington station,huntington
New York,islip terrace,islip
New York,new york city,new york
New York,oyster bay cove,oyster bay
New York,pelham manor,pelham
New York,port jefferson station,port jefferson
New York,queens village,queens
New York,rye brook,rye
New York,vernon center,vernon
Ontario,caledon east,caledon
Ontario,king city,king
Vermont,barre town,barre
Vermont,essex junction,essex
Vermont,manchester center,manchester
Vermont,saint albans city,saint albans
Virginia,fairfax station,fairfax
